id|ident|name|type|frequency|latitude|longitude|elevation|isoCountry|magneticVariation|usageType|power|associatedAirport
85187|AAR|Amritsar|VOR-DME|115500|31.706899642944336|74.80079650878906|752|IN|1.28|BOTH|HIGH|VIAR
85188|AAT|Agartala|VOR-DME|116100|23.88960075378418|91.23970031738281|47|IN|-0.302|BOTH|HIGH|VEAT
85189|AAU|Aurangabad|VOR-DME|116300|19.864700317382812|75.39409637451172|1908|IN|-0.464|BOTH|HIGH|VAAU
85190|AAU|Ashland|NDB|329|40.96329879760742|-82.25340270996094|1256|US|-7.232|TERMINAL|LOW|
85191|AB|Addis Abeba|NDB|333|8.997369766235352|38.8202018737793||ET|1.393|BOTH|MEDIUM|HAAB
85192|AB|Akraberg|NDB|381|61.395301818847656|-6.68110990524292||FO|-7.299|BOTH|HIGH|
85193|AB|Atbasar|NDB|420|51.88330078125|68.4000015258789||KZ|10.155|BOTH|MEDIUM|
85194|AB|Podkamennaya Tunguska|NDB|342|61.59170150756836|89.94170379638672||RU|9.088|TERMINAL|HIGH|
85195|AB|Abakan|NDB|360|53.698299407958984|91.3499984741211||RU|4.193|TERMINAL|HIGH|UNAA
85196|AB|Abqaiq|NDB|290|25.899999618530273|49.58330154418945|229|SA|2.157|BOTH|LOW|OEBQ
85197|AB|Alexander Bay|NDB|318|-28.618900299072266|16.479999542236328||ZA|-19.212|BOTH|MEDIUM|FAAB
85198|AB|Putny|NDB|227|31.456100463867188|-84.27619934082031||US|-3.456|TERMINAL|LOW|KABY
85199|AB|Tomhi|NDB|353|32.29890060424805|-99.67420196533203|1950|US|6.183|TERMINAL|LOW|KABI
85200|AB|Reney|NDB|203|45.38600158691406|-98.32839965820312||US|5.298|TERMINAL|LOW|KABR
85201|AB|Leehi|NDB|400|40.58580017089844|-75.54959869384766||US|-12.112|TERMINAL|LOW|KABE
85202|ABA|Aruba|VOR-DME|112500|12.50979995727539|-69.9406967163086|59|AW|-9.37|BOTH|HIGH|TNCA
85203|ABA|Albany|NDB-DME|240|-34.95220184326172|117.81099700927734|243|AU|-2.034|BOTH|MEDIUM|YABA
85204|ABB|Nabb|VORTAC|112400|38.58879852294922|-85.63600158691406|710|US|-4.045|LO|MEDIUM|
85205|ABB|Abbeville|VOR-DME|108450|50.135101318359375|1.8546899557113647|223|FR|-1.232|BOTH|HIGH|LFOI
85206|ABC|Abuja|VOR-DME|116300|9.037799835205078|7.285099983215332|1240|NG|-2.022|BOTH|MEDIUM|DNAA
85207|ABD|Abadan|VOR-DME|114500|30.386999130249023|48.21760177612305|10|IR|3.069|BOTH|HIGH|OIAA
85208|ABD|Abyad|NDB|264|33.33530044555664|36.428199768066406||SY|3.53|BOTH|HIGH|OSDI
85209|ABG|Ambassador|NDB|404|32.58539962768555|-95.11299896240234|420|US|3.377|TERMINAL|LOW|1TX9
85210|ABH|Abha|VORTAC|112900|18.241899490356445|42.656898498535156|6862|SA|2.111|BOTH|HIGH|OEAB
85211|ABI|Abilene|VORTAC|113700|32.481300354003906|-99.8635025024414|1810|US|6.246|BOTH|HIGH|KDYS
85212|ABI|Djibouti/Ambouli|TACAN|114600|11.549500465393066|43.154598236083984|49|DJ|1.265|BOTH|HIGH|HDAM
85213|ABK|Abakan|VOR-DME|113300|53.744998931884766|91.38500213623047|830|RU|4.192|BOTH|HIGH|UNAA
85214|ABL|Ambalema|NDB|300|4.7838897705078125|-74.76750183105469||CO|-5.11|BOTH|MEDIUM|
85215|ABM|Abumusa Island|NDB|285|25.87779998779297|55.02289962768555|23|IR|1.384|BOTH|LOW|OIBA
85216|ABN|Albenga|NDB|420|44.05580139160156|8.221110343933105||IT|0.515|BOTH|LOW|LIMG
85217|ABQ|Albuquerque|VORTAC|113200|35.043800354003906|-106.81600189208984|5743|US|9.551|BOTH|HIGH|
85218|ABR|Aberdeen|VOR-DME|113000|45.41740036010742|-98.36869812011719|1301|US|5.316|BOTH|HIGH|
85219|ABT|Albacete|NDB|321|38.94409942626953|-1.99767005443573||ES|-1.399|LO|MEDIUM|LEAB
85220|ABU|Abu Argub|VOR-DME|115100|32.462799072265625|13.169400215148926|470|LY|1.291|BOTH|HIGH|HLLT
85221|ABU|Altenburg|NDB|330|50.99380111694336|12.520999908447266|581|DE|1.561|TERMINAL|LOW|EDAC
85222|ABV|Alexander Bay|VOR-DME|112100|-28.57069969177246|16.533899307250977|98|ZA|-19.183|BOTH|HIGH|FAAB
85223|AC|Pleasant Lake|NDB|230|43.86090087890625|-66.0436019897461|141|CA|-17.566|LO|LOW|CYQI
85224|AC|Coffi|NDB|358|31.694000244140625|-97.20379638671875||US|4.551|TERMINAL|MEDIUM|KACT
85225|AC|Waivs|NDB|248|41.311100006103516|-69.98670196533203||US|-15.315|TERMINAL|LOW|KACK
85226|AC|Anloc|NDB|320|10.939200401306152|107.18800354003906||VN|-0.138|BOTH|MEDIUM|
85227|ACA|Acapulco|VOR-DME|115900|16.758499145507812|-99.75399780273438|13|MX|6.192|BOTH|HIGH|MMAA
85228|ACC|Accra|VOR-DME|113100|5.634109973907471|-0.15534399449825287|205|GH|-4.426|BOTH|HIGH|DGAA
85229|ACD|Alcobendas|NDB|417|40.58570098876953|-3.6765100955963135||ES|-2.162|LO|LOW|LEMD
85230|ACE|Kachemak|NDB|277|59.641300201416016|-151.5|78|US|19.119|LO|MEDIUM|PAHO
85231|ACH|Anton Chico|VORTAC|117800|35.111698150634766|-105.04000091552734|5450|US|9.091|BOTH|HIGH|NM76
85232|ACJ|Aracaju|VOR-DME|112000|-10.984000205993652|-37.0713996887207|26|BR|-22.589|BOTH|HIGH|SBAR
85233|ACJ|Aracaju|NDB|355|-10.988100051879883|-37.073699951171875|26|BR|-22.589|BOTH|MEDIUM|SBAR
85234|ACK|Nantucket|VOR-DME|116200|41.28179931640625|-70.02670288085938|100|US|-15.298|BOTH|HIGH|KACK
85235|ACO|Akron|VOR-DME|114400|41.1078987121582|-81.20149993896484|1200|US|-8.159|LO|MEDIUM|
85236|ACO|Atico|NDB|202|-16.243600845336914|-73.57859802246094||PE|-1.193|BOTH|MEDIUM|
85237|ACQ|Waseca|NDB|371|44.0702018737793|-93.55239868164062|1120|US|1.379|TERMINAL|LOW|
85238|ACT|Waco|VORTAC|115300|31.66230010986328|-97.26899719238281|510|US|4.574|BOTH|HIGH|
85239|ACV|Arcata|VOR-DME|110200|40.98139953613281|-124.10800170898438|193|US|15.535|LO|LOW|KACV
85240|ACY|Atlantic City|VORTAC|108600|39.45589828491211|-74.57630157470703|70|US|-12.268|LO|MEDIUM|KACY
85241|ACZ|Pendy|NDB|379|34.71630096435547|-78.00360107421875|30|US|-8.549|TERMINAL|LOW|
85248|AD|Sheremetyevo|NDB|700|55.986698150634766|37.50170135498047||RU|9.438|TERMINAL|MEDIUM|UUEE
85249|AD|Sochi|NDB|365|43.415000915527344|39.93170166015625||RU|5.528|TERMINAL|MEDIUM|URSS
85250|AD|Aldan|NDB|451|58.61830139160156|125.43000030517578||RU|-14.051|TERMINAL|HIGH|
85251|AD|Ashgabat|NDB|407|38.005001068115234|58.30670166015625|689|TM|4.222|TERMINAL|MEDIUM|UTAA
85252|AD|Brons|NDB|407|33.0443000793457|-96.87049865722656||US|4.423|TERMINAL|MEDIUM|
85253|AD|Andizhan|NDB|422|40.733299255371094|72.30000305175781||UZ|4.216|BOTH|MEDIUM|
85254|AD|Arandis|NDB|328|-22.466699600219727|14.95829963684082||NA|-13.554|BOTH|MEDIUM|FYAR
85255|AD|Aden|NDB|361|12.87030029296875|45.00559997558594||YE|1.193|BOTH|MEDIUM|OYAA
85242|AD|Adelaide|VOR-DME|116400|-34.9468994140625|138.5240020751953|32|AU|8.07|BOTH|HIGH|YPAD
85243|AD|Abidjan|VOR-DME|114300|5.282810211181641|-3.9170000553131104|30|CI|-6.003|BOTH|HIGH|DIAP
85244|AD|Bateen|NDB|392|24.427600860595703|54.45589828491211||AE|1.274|BOTH|HIGH|OMAD
85245|AD|Adelaide (DECOMMISSIONED)|NDB|362|-34.946399688721|138.54600524902|20|AU|8.1|BOTH|HIGH|YPAD
85246|AD|Rengat|NDB|280|-0.3491609990596771|102.33599853515625|61|ID|0.035|BOTH|MEDIUM|WIPR
85247|AD|Anda|NDB|288|61.8296012878418|6.115940093994141||NO|-1.024|TERMINAL|LOW|ENSD
85256|ADA|Aldeia|VOR-DME|112100|-22.81279945373535|-42.095298767089844|61|BR|-22.048|BOTH|HIGH|SBES
85257|ADA|Adana|VOR-DME|112700|36.94060134887695|35.21030044555664|49|TR|4.175|BOTH|HIGH|LTAF
85258|ADA|Aldeia|NDB|345|-22.822999954223633|-42.096500396728516|61|BR|-22.047|BOTH|MEDIUM|SBES
85259|ADA|Adana|NDB|395|36.97079849243164|35.26169967651367||TR|4.179|BOTH|HIGH|LTAF
85260|ADA|Aguada Grande|NDB|323|10.616700172424316|-69.2833023071289||VE|-9.453|BOTH|MEDIUM|
85261|ADF|Arkadelphia|NDB|275|34.05540084838867|-93.10489654541016|181|US|2.132|TERMINAL|LOW|
85262|ADG|Adrian|NDB|278|41.869998931884766|-84.07749938964844|862|US|-6.089|TERMINAL|LOW|
85263|ADH|Ada|VOR-DME|117800|34.8026008605957|-96.67009735107422|987|US|4.33|LO|LOW|
85264|ADK|Mount Moffett|NDB-DME|530|51.87189865112305|-176.67599487304688|332|US|6.285|BOTH|MEDIUM|PADK
85265|ADL|Sochi|VOR-DME|112700|43.40330123901367|39.948299407958984|36|RU|5.527|BOTH|HIGH|URSS
85266|ADM|Ardmore|VORTAC|116700|34.21160125732422|-97.16829681396484|925|US|4.523|BOTH|HIGH|
85267|ADM|Agadir|VOR-DME|117200|30.3218994140625|-9.383330345153809|295|MA|-3.548|BOTH|HIGH|GMAD
85268|ADN|Roberto|VOR-DME|115400|25.865400314331055|-100.23899841308594|1476|MX|6.258|BOTH|HIGH|MMAN
85269|ADN|Aberdeen|VOR-DME|114300|57.31060028076172|-2.2672200202941895|600|GB|-4.148|BOTH|HIGH|EGPD
85270|ADO|Puerto Deseado|NDB|210|-47.733299255371094|-65.9094009399414|266|AR|7.234|LO|HIGH|SAWD
85271|ADR|Adrar|VOR-DME|112600|27.816999435424805|-0.2058670073747635|920|DZ|-1.172|BOTH|LOW|DAUA
85272|ADR|Adrar|NDB|340|27.78529930114746|-0.23027800023555756||DZ|-1.16|BOTH|MEDIUM|DAUA
85273|ADS|Addis Abeba|VOR-DME|112900|8.975040435791016|38.799400329589844|7656|ET|1.393|BOTH|HIGH|HAAB
85274|ADT|Atwood|NDB|365|39.838600158691406|-101.04499816894531|2936|US|7.216|TERMINAL|LOW|
85275|ADU|Audubon|NDB|266|41.69029998779297|-94.91000366210938|1278|US|2.595|TERMINAL|LOW|
85276|ADW|Andrews|VORTAC|113100|38.80720138549805|-76.86620330810547|260|US|-10.463|LO|MEDIUM|KADW
